Geo,Year, Quarter, Occupancy Rate, Daily Rate, Revenue per Available Room,,,,
Toronto,2015, Q1,61.73%,$139.37 ,$86.27 ,,,, 
Toronto,2015, Q2,73.43%,$149.09 ,$109.70 ,,,, 
Toronto,2015, Q3,80.37%,$155.34 ,$125.08 ,,,, 
Toronto,2015, Q4,67.33%,$149.34 ,$101.28 ,,,, 
Toronto,2016, Q1,64.63%,$148.92 ,$96.51 ,,,, 
Toronto,2016, Q2,76.07%,$154.95 ,$117.93 ,,,, 
Toronto,2016, Q3,86.20%,$173.47 ,$149.64 ,,,, 
Toronto,2016, Q4,70.27%,$156.96 ,$111.01 ,,,, 
Toronto,2017, Q1,65.93%,$154.78 ,$102.26 ,,,, 
Toronto,2017, Q2,78.10%,$173.66 ,$135.81 ,,,, 
Toronto,2017, Q3,84.47%,$183.52 ,$155.09 ,,,, 
Toronto,2017, Q4,72.97%,$170.62 ,$125.68 ,,,, 
Toronto,2018, Q1,68.20%,$166.10 ,$113.51 ,,,, 
Toronto,2018, Q2,79.90%,$186.10 ,$148.91 ,,,, 
Toronto,2018, Q3,84.23%,$195.94 ,$165.22 ,,,, 
Toronto,2018, Q4,71.67%,$176.43 ,$127.70 ,,,, 
Toronto,2019, Q1,66.43%,$169.58 ,$112.76 ,,,, 
Toronto,2019, Q2,77.63%,$189.82 ,$147.46 ,,,, 
Toronto,2019, Q3,82.17%,$193.43 ,$159.02 ,,,, 
Toronto,2019, Q4,71.17%,$177.23 ,$127.04 ,,,, 
